Prod_n4_id;Prod_n4_desc;prod_n3_id
10111;Colocaciones (1);1011
10211;Efectivo y depósitos en bancos;1021
10311;Instrumentos financieros no derivados;1031
10411;Instrumentos financieros derivados;1041
10511;Contratos de retrocompra y préstamos de valores (activos);1051
10611;Inversiones en sociedades y en sucursales en el exterior;1061
10711;Activo fijo;1071
10811;Activo por derecho a usar bienes en arrendamiento;1081
10911;Activos Totales;1091
11011;Créditos contingentes;1101
11111;Colocaciones de comercio exterior totales;1111
11211;Operaciones de leasing totales;1121
11311;Operaciones de factoraje;1131
11411;Cartera con morosidad de 90 días o más;1141
11511;Cartera deteriorada;1151
20111;Total;2011
20112;Bancos del país;2011
20113;Bancos del exterior;2011
20114;Banco Central de Chile;2011
20121;Total (1);2012
20122;Provisiones constituidas de créd. y ctas. por cob. a clientes;2012
20123;Colocaciones comerciales (empresas) (1);2012
20124;Personas;2012
20211;Colocaciones;2021
